equip_id	 utility	 size	 pos_x 	 pos_y	 pos_z
ELE3509	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 185315.38 	 62767.23	 53190.54
ELE3509	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 184201.37 	 63379.23	 53128.61
ETO35N2	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 208766.35 	 62935.59	 53173.5
ETO35N2	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 207898.75 	 62934.68	 53173.5
ETO35N2	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 207987.55 	 61209.7	 53173.5
ETO35N2	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 207116.15 	 61210.7	 53173.5
ETO35N2	 산배기(ACID)	 [기본 사이즈] 50 mm	 208044.33 	 62660.01	 49995.0
ETO35N2	 산배기(ACID)	 [기본 사이즈] 50 mm	 207175.22 	 62647.22	 49989.53
ETO35N2	 산배기(ACID)	 [기본 사이즈] 50 mm	 208709.56 	 61485.28	 49995.0
ETO35N2	 산배기(ACID)	 [기본 사이즈] 100 mm	 206555.64 	 61074.86	 50103.75
ETO35N2	 산배기(ACID)	 [기본 사이즈] 100 mm	 206665.64 	 61074.86	 50103.75
ETO35N2	 산배기(ACID)	 [기본 사이즈] 100 mm	 206549.43 	 61075.19	 50227.48
ETO35N2	 산배기(ACID)	 [기본 사이즈] 100 mm	 206610.64 	 61074.86	 50007.68
ETO35N2	 산배기(ACID)	 [기본 사이즈] 50 mm	 207838.95 	 61495.7	 49992.0
ELO3511	 산배기(ACID)	 [기본 사이즈] 25 mm	 201767.12 	 59499.08	 41339.5
ELO3511	 산배기(ACID)	 [기본 사이즈] 25 mm	 201767.12 	 59079.08	 41339.5
ELO3511	 산배기(ACID)	 [기본 사이즈] 150 mm	 202451.05 	 59208.34	 49740.0
ELO3511	 산배기(ACID)	 [기본 사이즈] 100 mm	 202105.45 	 59617.68	 49950.0
ELO3511	 산배기(ACID)	 [기본 사이즈] 150 mm	 202146.37 	 57985.21	 49740.0
ELO3511	 산배기(ACID)	 [기본 사이즈] 150 mm	 202146.25 	 58872.04	 49740.0
ELO3511	 산배기(ACID)	 [기본 사이즈] 100 mm	 202105.45 	 57452.83	 49950.0
ELO3511	 산배기(ACID)	 [기본 사이즈] 150 mm	 202451.17 	 58160.8	 49740.0
ELO3511	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 201878.67 	 57875.64	 53160.61
ELO3511	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 200764.89 	 58487.64	 53190.54
ELD3506	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 189384.75 	 62770.74	 53189.93
ELD3506	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 190498.76 	 62158.74	 53160.0
ELD3506	 열배기(HEAT)	 [기본 사이즈] 100 mm	 189643.83 	 62770.74	 53189.93
ELD3506	 열배기(HEAT)	 [기본 사이즈] 100 mm	 189853.29 	 63917.22	 50011.54
ELD3506	 열배기(HEAT)	 [기본 사이즈] 100 mm	 189639.26 	 61622.69	 50011.54
ELD3506	 열배기(HEAT)	 [기본 사이즈] 100 mm	 191771.08 	 62853.44	 37458.5
ELD3506	 산배기(ACID)	 [기본 사이즈] 100 mm	 191424.36 	 63723.98	 49950.0
ELD3506	 산배기(ACID)	 [기본 사이즈] 100 mm	 191424.36 	 61817.28	 49950.0
ELD3506	 산배기(ACID)	 [기본 사이즈] 150 mm	 190758.83 	 63151.65	 49740.0
ELD3506	 산배기(ACID)	 [기본 사이즈] 150 mm	 191063.75 	 62440.41	 49740.0
